"method","n","evidence_channel","certified","status","objective","residual","feasibility_residual","objective_residual","mass_residual","setup_ms","solve_ms","e2e_ms","mem_solve_bytes","mem_e2e_bytes","requested_precision","effective_precision","requested_threads","used_threads","commit","r_version","sysname","machine","omp_num_threads","blas_threads","seed","reps","timestamp"
"ot_partial_emd",16,"local",TRUE,"converged",0.0625407729720925,0,0,0,0,0,3.00000000000011,4,51032,73320,NA,NA,1,1,"5aef129cdb765a51f9b56b25b66fd2fd1a5f6c16","4.5.1","Darwin","arm64","1","1",20260820,3,"2026-08-20T20:18:50Z"
"ot_sinkhorn_unbalanced_log",16,"local",TRUE,"converged",0.172227616213292,9.64870622954805e-07,9.64870622954805e-07,0,NA,0,17.0000000000003,18.0000000000002,1957368,1979656,NA,NA,1,1,"5aef129cdb765a51f9b56b25b66fd2fd1a5f6c16","4.5.1","Darwin","arm64","1","1",20260820,3,"2026-08-20T20:18:50Z"
"ot_partial_emd",32,"local",TRUE,"converged",0.0424384346367814,0,0,0,0,0,10.0000000000002,10.0000000000002,123448,209976,NA,NA,1,1,"5aef129cdb765a51f9b56b25b66fd2fd1a5f6c16","4.5.1","Darwin","arm64","1","1",20260820,3,"2026-08-20T20:18:51Z"
"ot_sinkhorn_unbalanced_log",32,"local",TRUE,"converged",0.160613231827836,9.42238229661996e-07,9.42238229661996e-07,0,NA,0,24.9999999999999,24.9999999999999,13751720,13838248,NA,NA,1,1,"5aef129cdb765a51f9b56b25b66fd2fd1a5f6c16","4.5.1","Darwin","arm64","1","1",20260820,3,"2026-08-20T20:18:57Z"
